2026-03-24 02:12:06 - Suspensos: 1 revendedores, 2 usuários
2026-03-31 08:51:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:52:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:52:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:52:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:52:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:52:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:52:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:53:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:53:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:53:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:54:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:55:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:56:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:56:42 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:56:52 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:57:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:57:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:58:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:58:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:58:56 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:59:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:59:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:59:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:59:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:59:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:59:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 08:59:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:00:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:01:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:02:10 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:02:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:02:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:02:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:02:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:02:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:03:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:03:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:03:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:03:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:03:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:03:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:04:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:04:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:04:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:04:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:04:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:04:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:05:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:05:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:05:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:05:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:05:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:05:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:06:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:06:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:06:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:06:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:06:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:06:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:07:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:07:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:07:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:07:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:07:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:07:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:08:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:08:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:08:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:08:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:08:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:08:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:09:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:09:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:09:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:09:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:09:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:09:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:10:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:10:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:10:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:10:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:11:02 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:11:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:11:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:11:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:11:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:11:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:11:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:12:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:12:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:12:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:12:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:12:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:12:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:13:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:13:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:13:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:13:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:13:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:13:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:14:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:14:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:14:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:14:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:14:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:14:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:15:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:15:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:15:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:15:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:15:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:15:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:16:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:16:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:16:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:16:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:16:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:16:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:17:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:17:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:17:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:17:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:17:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:17:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:18:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:18:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:18:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:18:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:18:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:18:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:19:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:19:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:19:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:19:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:19:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:19:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:20:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:20:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:20:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:20:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:20:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:20:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:21:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:21:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:21:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:21:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:21:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:21:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:22:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:22:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:22:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:22:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:22:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:22:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:23:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:23:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:23:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:23:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:23:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:23:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:24:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:24:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:24:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:25:28 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:26:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:27:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:28:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:28:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:58:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:58:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:59:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:59:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:59:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:59:44 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 09:59:54 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:00:04 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:00:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:00:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:00:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:00:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:00:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:01:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:01:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:01:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:01:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:02:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:02:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:02:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:02:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:03:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:03:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:03:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:03:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:03:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:03:54 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:04:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:04:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:04:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:04:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:08:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:08:43 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:08:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:09:04 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:09:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:09:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:09:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:09:44 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:09:54 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:10:04 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:10:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:10:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:11:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:12:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:13:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:14:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:22:43 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:22:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:23:03 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:23:13 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 10:23:23 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:03:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:03:11 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:03:21 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:03:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:03:41 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:03:51 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:12:23 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:12:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:12:44 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:12:54 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:13:04 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:13:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:13:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:13:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:27:02 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:27:12 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:27:22 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:27:32 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:27:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:28:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:29:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:29:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:29:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:29:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:29:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:29:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:30:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:30:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:31:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:32:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:33:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:34:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:35:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:36:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:37:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:38:14 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:38:28 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:38:39 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:38:49 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:38:59 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:39:08 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:39:19 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:39:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:39:39 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:39:49 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:39:59 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:40:09 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:40:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:41:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:42:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:43:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:44:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:45:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:46:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:47:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:48:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:49:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:50:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:51:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:52:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:52:52 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:52:52 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:55:58 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:56:08 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:56:20 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:56:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:56:38 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:56:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:57:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:57:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:57:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:57:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:57:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:57:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:58:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:58:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:58:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:58:36 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:58:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:58:56 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:59:06 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:59:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 11:59:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:00:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:01:28 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:02:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:03:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:04:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:05:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:06:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:07:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:08:11 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:08:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:08:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:08:36 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:08:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:08:56 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:09:06 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:09:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:10:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:11:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:12:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:13:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:14:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:15:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:16:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:17:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:18:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:19:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:20:29 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:20:42 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:20:50 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:32:23 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:32:33 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:32:43 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:33:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:33:11 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:33:21 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:33:30 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:33:42 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:33:52 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:34:01 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:34:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:34:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:34:44 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:35:00 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:35:12 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:35:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:35:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:35:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:35:54 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:36:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:36:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:36:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:41:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:41:58 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 12:42:08 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:54:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:54:56 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:55:06 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:55:17 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:55:27 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:55:37 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:55:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:55:57 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:56:07 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 17:56:38 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:51:21 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:51:31 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:51:46 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:52:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:52:16 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:52:34 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:52:47 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:53:03 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:53:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:53:26 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:54:44 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:59:12 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:59:24 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:59:32 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:59:43 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 18:59:53 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:00:03 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:00:13 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:00:23 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:00:33 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:00:49 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:01:49 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:02:49 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:03:42 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:03:55 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:04:05 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:04:15 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:04:25 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:04:35 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:04:45 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:04:56 - Vencidos: 0 revendedores, 3 usuários
2026-03-31 19:05:49 - Vencidos: 0 revendedores, 3 usuários
